time	insolation_65N
563	467.5731582
562	474.0737335
561	480.6821232
560	486.930113
559	492.1276905
558	495.9169211
557	497.9660334
556	498.3207473
555	496.9809366
554	494.3267705
553	490.7842088
552	486.7679404
551	482.8036154
550	479.3984225
549	476.7884325
548	475.3139888
547	475.1196893
546	476.0854816
545	478.2325807
544	481.3361895
543	485.0909813
542	489.2653914
541	493.6540388
540	497.841917
539	501.804498
538	505.3409577
537	508.3062298
536	510.7621071
535	512.7389444
534	514.0544358
533	515.0178816
532	515.4071228
531	515.2538737
530	514.5121907
529	513.096521
528	510.7864766
527	507.6514612
526	503.5175575
525	498.3841132
524	492.4526847
523	485.8528421
522	478.8332709
521	471.9558023
520	465.542246
519	460.0731614
518	456.144114
517	454.0274813
516	453.9853172
515	456.3466164
514	460.8318531
513	467.3755558
512	475.533553
511	484.706987
510	494.0982897
509	503.1250737
508	510.7434346
507	516.4127025
506	519.6169429
505	519.9618289
504	517.5207256
503	512.6446403
502	505.7461116
501	497.6229553
500	489.2089707
499	481.18481
498	474.5038836
497	469.7916871
496	467.4853685
495	467.8102507
494	470.938976
493	476.3797451
492	483.8361914
491	492.6636884
490	501.8441265
489	510.6581493
488	518.1806785
487	523.4685171
486	526.0742576
485	525.6451377
484	521.9822906
483	515.5925967
482	506.9678382
481	496.7600174
480	486.0696525
479	475.7268175
478	466.5146743
477	459.2956522
476	454.5388757
475	452.4129308
474	453.2280032
473	456.615057
472	462.233311
471	469.6309409
470	478.0354887
469	486.6710384
468	494.9572379
467	502.110788
466	507.6094101
465	511.2846046
464	512.9119981
463	512.572884
462	510.7545131
461	507.6777954
460	503.9130675
459	500.0589899
458	496.4565922
457	493.505126
456	491.6076538
455	490.6849421
454	490.8482712
453	491.9887737
452	493.770039
451	495.8664078
450	498.0447975
449	499.7451484
448	500.7019704
447	500.758446
446	499.5476145
445	497.1800744
444	493.8111986
443	489.4744335
442	484.6831092
441	479.7978289
440	475.148754
439	471.2206075
438	468.4013221
437	466.7569102
436	466.6187882
435	467.8879305
434	470.4093648
433	473.9877875
432	478.3425356
431	482.9025175
430	487.4656022
429	491.5617269
428	494.830224
427	497.2102559
426	498.5250688
425	498.843138
424	498.3631369
423	497.3893685
422	496.0932002
421	495.0301984
420	494.3486181
419	494.3551853
418	495.2326918
417	497.0577828
416	499.6003204
415	502.9183314
414	506.5127781
413	510.0408072
412	513.1847151
411	515.389988
410	516.3090579
409	515.7511633
408	513.453192
407	509.4960177
406	504.079564
405	497.5260217
404	490.2224868
403	482.8833311
402	475.8472053
401	469.767046
400	465.0290551
399	461.9379824
398	460.5786321
397	461.0917768
396	463.1049361
395	466.4727782
394	470.7060706
393	475.3555273
392	479.9189054
391	484.0472056
390	487.3151356
389	489.5840233
388	490.8394836
387	491.1280851
386	490.7345094
385	490.0004633
384	489.2214612
383	488.8094996
382	489.0434247
381	490.0637168
380	492.0081228
379	494.7691924
378	498.1902771
377	501.9553685
376	505.7711536
375	509.1547329
374	511.8416356
373	513.4582882
372	513.8530796
371	512.9049821
370	510.7845579
369	507.5525294
368	503.7011473
367	499.4460282
366	495.3242028
365	491.6300185
364	488.7408133
363	486.792282
362	485.9108109
361	486.0012984
